Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
RTDETR_L_150epochs,73,cracked_wheat,1.0,0.9167893760927592,0.925,0.6661674961806103
YOLO26s_150epochs,73,cracked_wheat,0.9537230465647656,0.8708163038628149,0.8827453950893993,0.6122811274195387
RTDETR_L_150epochs,74,cranberry,0.993206841352097,0.8686131386861314,0.9124369210001777,0.6522869244095427
YOLO26s_150epochs,74,cranberry,0.975198374209794,0.8613138686131386,0.8740502247410593,0.6464005692895982
RTDETR_L_150epochs,75,cucumber,0.9748425048569181,0.9242424242424242,0.9346850393700787,0.6883120719029261
YOLO26s_150epochs,75,cucumber,0.9350905397018879,0.8731069238003742,0.9018482147201946,0.6886271650712161
RTDETR_L_150epochs,76,cumin,0.9840623373136247,0.8913043478260869,0.913405867182463,0.6930130806467275
YOLO26s_150epochs,76,cumin,0.9313832300599325,0.8768115942028986,0.8910826886383619,0.6975805713834105
RTDETR_L_150epochs,77,daikon,0.9760603139306319,0.8928222491665493,0.9131538821614971,0.6680492000998574
YOLO26s_150epochs,77,daikon,0.9263374974319679,0.8261317813983046,0.8392430291544848,0.6075067228470677
RTDETR_L_150epochs,78,deer,0.8800889189400956,0.8478260869565217,0.8505074436474315,0.6493875608915991
YOLO26s_150epochs,78,deer,0.856645807635086,0.855072463768116,0.8726175615142071,0.6300570394199524
RTDETR_L_150epochs,79,dragon_fruit,0.9843544783146935,0.9236111111111112,0.9227511111111113,0.6760515696116076
YOLO26s_150epochs,79,dragon_fruit,0.9698416691963264,0.893299209046364,0.9130562269106368,0.593756452779553
RTDETR_L_150epochs,80,duck,0.9872404961437817,0.8881578947368421,0.9047122302158274,0.6577938545438058
YOLO26s_150epochs,80,duck,0.942476544211996,0.8355263157894737,0.8615454569020877,0.543846766957218
RTDETR_L_150epochs,81,dumpling_wrapper,0.9969865764828092,0.9383561643835616,0.935,0.7618194064059353
YOLO26s_150epochs,81,dumpling_wrapper,0.9877587818255892,0.9041095890410958,0.9242786918798875,0.776329090348828
RTDETR_L_150epochs,82,durian,0.9986060698454056,0.9111111111111111,0.9436464783854248,0.6726844935192278
YOLO26s_150epochs,82,durian,0.9645692321104968,0.8666666666666667,0.8723382633691878,0.6299527295748348
RTDETR_L_150epochs,83,egg,0.9976153953096357,0.9463087248322147,0.9450000000000001,0.7816524102852165
YOLO26s_150epochs,83,egg,0.9356986396936038,0.9395973154362416,0.9519636551137869,0.8406334041973109
RTDETR_L_150epochs,84,einkorn,0.9811829923106186,0.8843537414965986,0.9111861387337077,0.6623001984460549
YOLO26s_150epochs,84,einkorn,0.9641012886222139,0.7891156462585034,0.8124585859810818,0.6184353221567042
RTDETR_L_150epochs,85,elderberry,0.9658316553341696,0.8721804511278195,0.8907182881123638,0.6210333100841114
YOLO26s_150epochs,85,elderberry,0.9596352248316506,0.8345864661654135,0.8607262835644222,0.5664420037055274
RTDETR_L_150epochs,86,elk,0.9733224196109443,0.9424460431654677,0.9428064224332882,0.722411985737695
YOLO26s_150epochs,86,elk,0.95668241100334,0.920863309352518,0.9341125975473802,0.6802221838413949
RTDETR_L_150epochs,87,emmer,0.9833758795812042,0.8493150684931506,0.9122014056239829,0.6733095850750538
YOLO26s_150epochs,87,emmer,0.9685534709424561,0.8438445610283679,0.8627839212563218,0.6477365228972652
RTDETR_L_150epochs,88,farfalle,0.9910747924824144,0.7711289837321967,0.8105283387062308,0.5264442585708665
YOLO26s_150epochs,88,farfalle,0.9597891599084252,0.7291666666666666,0.7617084224281303,0.4933768318624675
RTDETR_L_150epochs,89,farro,0.9751557971876202,0.9253731343283582,0.9246011779015428,0.6798292889224217
YOLO26s_150epochs,89,farro,0.9437417711605871,0.8805970149253731,0.9165242518222695,0.6709607933427528
RTDETR_L_150epochs,90,fava_bean,0.9978190608627681,0.9241379310344827,0.934,0.684010115329759
YOLO26s_150epochs,90,fava_bean,0.9845123334405387,0.8767994199925336,0.9037766081615384,0.6101385823816551
RTDETR_L_150epochs,91,fennel,0.9917949996024805,0.9044117647058824,0.9046774193548387,0.6783721783149947
YOLO26s_150epochs,91,fennel,0.9644073681155839,0.8455882352941176,0.870994097286907,0.6378644143923752
RTDETR_L_150epochs,92,fettuccine,0.9922804520607872,0.9181655789957205,0.924923076923077,0.6781931914105661
YOLO26s_150epochs,92,fettuccine,0.9785031270905241,0.9,0.9043188817815684,0.6777557985874776
RTDETR_L_150epochs,93,fish_sauce,0.9961980160923735,0.958904109589041,0.9639240506329113,0.8128261044875632
