raw_name,normalized_name
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
green onion,green_onion
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
chard stalk,chard_stalk
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
broccoli stem,broccoli_stem
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
bamboo shoots,bamboo_shoot
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
lemongrass,lemongrass
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
pinto beans,pinto_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
