==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
123   | kumquat                   | 137     
124   | lamb                      | 124     
125   | lasagna                   | 129     
126   | leek                      | 136     
127   | lemon                     | 136     
128   | lemongrass                | 135     
129   | lentils                   | 128     
130   | lettuce                   | 142     
131   | lima_bean                 | 138     
132   | lime                      | 123     
133   | linguine                  | 125     
134   | lobster                   | 137     
135   | lychee                    | 136     
136   | macaroni                  | 137     
137   | mackerel                  | 131     
138   | mandarin                  | 128     
139   | mango                     | 127     
140   | milk                      | 133     
141   | millet                    | 146     
142   | mulberry                  | 140     
143   | mung_bean                 | 134     
144   | mushroom                  | 143     
145   | mustard_green             | 141     
146   | mutton                    | 135     
147   | navy_bean                 | 129     
148   | nectarine                 | 128     
149   | nutmeg                    | 136     
150   | oat                       | 138     
151   | octopus                   | 145     
152   | olive_oil                 | 139     
153   | olives                    | 136     
154   | onion                     | 140     
155   | orange                    | 142     
156   | ostrich                   | 158     
157   | oyster                    | 122     
158   | papaya                    | 122     
159   | paprika                   | 131     
160   | parsnip                   | 133     
161   | partridge                 | 136     
162   | passion_fruit             | 135     
163   | pasta                     | 130     
164   | pasta_sauce               | 142     
165   | pawpaw                    | 140     
166   | peach                     | 150     
167   | peanut_oil                | 141     
168   | pear                      | 138     
169   | peas                      | 140     
170   | penne                     | 135     
171   | pepper                    | 122     
172   | pesto                     | 140     
173   | pheasant                  | 127     
174   | pickle                    | 138     
175   | pineapple                 | 146     
176   | pinto_bean                | 123     
177   | plum                      | 127     
178   | pluot                     | 130     
179   | polenta                   | 124     
180   | pomelo                    | 141     
181   | pork                      | 142     
182   | potato                    | 135     
183   | pumpkin                   | 121     
184   | quail                     | 134     
185   | quinoa                    | 143     
186   | rabbit                    | 133     
187   | radicchio                 | 136     
188   | radish                    | 130     
189   | ramp                      | 123     
190   | raspberry                 | 127     
191   | refried_bean              | 116     
192   | rhubarb                   | 126     
193   | rice                      | 126     
194   | rigatoni                  | 118     
195   | romaine                   | 136     
196   | rotini                    | 150     
197   | rutabaga                  | 144     
198   | salmon                    | 136     
199   | salsa                     | 140     
200   | salt                      | 136     
201   | santol                    | 123     
202   | sapote                    | 129     
203   | sardine                   | 133     
204   | sausage                   | 133     
205   | savoy_cabbage             | 137     
206   | scallop                   | 132     
207   | semolina                  | 134     
208   | sesame_oil                | 139     
209   | shallot                   | 119     
210   | shrimp                    | 128     
211   | sorghum                   | 141     
212   | sour_cherry               | 135     
213   | soursop                   | 134     
214   | soybean                   | 134     
215   | spaghetti                 | 135     
216   | spelt                     | 149     
217   | spinach                   | 127     
218   | squab                     | 131     
219   | squirrel                  | 136     
220   | strawberry                | 129     
221   | sugar                     | 122     
222   | sun_dried_tomato          | 130     
223   | sunflower_oil             | 143     
224   | sweet_potato              | 147     
225   | swiss_chard               | 140     
226   | tangerine                 | 142     
227   | teff                      | 130     
228   | tomato                    | 139     
229   | trout                     | 137     
230   | tuna                      | 137     
231   | turkey                    | 128     
232   | turmeric                  | 135     
233   | turnip                    | 146     
234   | vegetable_oil             | 130     
235   | venison                   | 133     
236   | watercress                | 143     
237   | wheat_bran                | 132     
238   | white_peach               | 134     
239   | wild_boar                 | 134     
240   | yuzu                      | 127     

Top 3 nhiều nhất: [('ostrich', 158), ('green_bean', 154), ('green_onion', 152)]
Top 3 ít nhất: [('rigatoni', 118), ('refried_bean', 116), ('cherry', 112)]

=============================================

--- SPLIT: TEST ---
Tổng số ảnh: 5000
Tổng số vật thể (instances): 32751
ID    | Class Name                | Count   
---------------------------------------------
0     | adzuki_bean               | 135     
1     | allspice                  | 132     
2     | amaranth                  | 136     
3     | anchovy                   | 134     
4     | apple                     | 139     
5     | apricot                   | 131     
6     | artichoke                 | 140     
7     | artichoke_heart           | 133     
8     | arugula                   | 129     
9     | asparagus                 | 138     
10    | avocado                   | 143     
11    | avocado_oil               | 136     
12    | bacon                     | 132     
13    | baked_bean                | 141     
14    | bamboo_shoot              | 147     
15    | banana                    | 144     
16    | barley                    | 133     
17    | beef                      | 129     
18    | beet                      | 131     
19    | bergamot                  | 134     
20    | bison                     | 124     
21    | black_bean                | 120     
22    | black_cherry              | 137     
23    | black_sapote              | 118     
24    | blackberry                | 126     
25    | blueberry                 | 135     
26    | bok_choy                  | 130     
27    | boysenberry               | 135     
28    | bread                     | 146     
29    | breadfruit                | 152     
30    | broccoli                  | 135     
31    | broccoli_stem             | 135     
32    | brussels_sprout           | 127     
33    | buckwheat                 | 135     
34    | buffalo                   | 144     
35    | bulgur                    | 147     
36    | butter                    | 137     
37    | cabbage                   | 138     
38    | cannellini_bean           | 134     
39    | canola_oil                | 137     
40    | caper                     | 129     
41    | cardamom                  | 130     
42    | caribou                   | 140     
43    | carrot                    | 139     
44    | cauliflower               | 139     
45    | celeriac                  | 141     
46    | celery                    | 125     
47    | chard_stalk               | 145     
48    | cheese                    | 145     
49    | cherimoya                 | 132     
50    | cherry                    | 133     
51    | chia                      | 133     
52    | chicken                   | 134     
53    | chicken_breast            | 138     
54    | chicken_thigh             | 135     
55    | chickpea                  | 117     
56    | chili_pepper              | 139     
57    | chili_sauce               | 124     
58    | chive                     | 138     
59    | cinnamon                  | 132     
60    | clam                      | 139     
61    | clove                     | 139     
62    | coconut                   | 148     
63    | coconut_oil               | 142     
64    | cod                       | 125     
65    | coffee                    | 135     
66    | collard_green             | 148     
67    | coriander                 | 140     
68    | corn                      | 135     
69    | corn_grit                 | 130     
70    | cornmeal                  | 148     
71    | couscouscucumber          | 130     
72    | crab                      | 136     
73    | cracked_wheat             | 125     
74    | cranberry                 | 123     
75    | cucumber                  | 130     
76    | cumin                     | 139     
77    | daikon                    | 135     
78    | deer                      | 138     
79    | dragon_fruit              | 133     
80    | duck                      | 143     
81    | dumpling_wrapper          | 144     
82    | durian                    | 127     
83    | egg                       | 142     
84    | einkorn                   | 133     
85    | elderberry                | 143     
86    | elk                       | 140     
87    | emmer                     | 135     
88    | farfalle                  | 131     
89    | farro                     | 142     
90    | fava_bean                 | 140     
91    | fennel                    | 151     
92    | fettuccine                | 148     
93    | fish_sauce                | 143     
94    | flaxseed_oil              | 150     
95    | flour                     | 146     
96    | freekeh                   | 132     
97    | fruit_cocktail            | 129     
98    | fusilli                   | 149     
99    | garlic                    | 129     
100   | garlic_bulb               | 139     
101   | ginger                    | 134     
102   | glass_noodle              | 131     
103   | goat                      | 153     
104   | goji_berry                | 144     
105   | goose                     | 137     
106   | grapefruit                | 131     
107   | grapeseed_oil             | 151     
108   | green_bean                | 133     
109   | green_onion               | 134     
110   | grouse                    | 134     
111   | guava                     | 134     
112   | guinea_fowl               | 136     
113   | haddock                   | 141     
114   | ham                       | 139     
115   | horseradish               | 136     
116   | huckleberry               | 137     
117   | jackfruit                 | 134     
118   | kale                      | 130     
119   | kamut                     | 146     
120   | kidney_bean               | 149     
121   | kiwi                      | 128     
122   | kohlrabi                  | 135     
123   | kumquat                   | 150     
124   | lamb                      | 133     
125   | lasagna                   | 138     
126   | leek                      | 133     
127   | lemon                     | 142     
128   | lemongrass                | 145     
129   | lentils                   | 132     
130   | lettuce                   | 129     
131   | lima_bean                 | 128     
132   | lime                      | 142     
133   | linguine                  | 139     
134   | lobster                   | 126     
135   | lychee                    | 129     
136   | macaroni                  | 140     
137   | mackerel                  | 134     
138   | mandarin                  | 137     
139   | mango                     | 146     
140   | milk                      | 133     
141   | millet                    | 138     
142   | mulberry                  | 139     
143   | mung_bean                 | 136     
144   | mushroom                  | 129     
145   | mustard_green             | 129     
146   | mutton                    | 146     
147   | navy_bean                 | 151     
148   | nectarine                 | 142     
149   | nutmeg                    | 136     
150   | oat                       | 140     
151   | octopus                   | 145     
152   | olive_oil                 | 132     
153   | olives                    | 141     
154   | onion                     | 121     
155   | orange                    | 130     
156   | ostrich                   | 132     
157   | oyster                    | 141     
158   | papaya                    | 137     
159   | paprika                   | 131     
160   | parsnip                   | 143     
161   | partridge                 | 128     
162   | passion_fruit             | 146     
163   | pasta                     | 138     
164   | pasta_sauce               | 137     
165   | pawpaw                    | 137     
166   | peach                     | 132     
167   | peanut_oil                | 128     
168   | pear                      | 138     
169   | peas                      | 142     
170   | penne                     | 152     
171   | pepper                    | 133     
172   | pesto                     | 128     
173   | pheasant                  | 133     
174   | pickle                    | 139     
175   | pineapple                 | 135     
176   | pinto_bean                | 128     
177   | plum                      | 134     
178   | pluot                     | 145     
179   | polenta                   | 137     
180   | pomelo                    | 134     
181   | pork                      | 130     
182   | potato                    | 143     
183   | pumpkin                   | 127     
184   | quail                     | 148     
185   | quinoa                    | 135     
186   | rabbit                    | 140     
187   | radicchio                 | 127     
188   | radish                    | 132     
189   | ramp                      | 136     
190   | raspberry                 | 121     
191   | refried_bean              | 139     
192   | rhubarb                   | 151     
193   | rice                      | 135     
194   | rigatoni                  | 146     
195   | romaine                   | 134     
196   | rotini                    | 134     
197   | rutabaga                  | 142     
198   | salmon                    | 135     
199   | salsa                     | 139     
200   | salt                      | 135     
201   | santol                    | 128     
202   | sapote                    | 131     
203   | sardine                   | 125     
204   | sausage                   | 130     
205   | savoy_cabbage             | 131     
206   | scallop                   | 116     
207   | semolina                  | 138     
208   | sesame_oil                | 138     
209   | shallot                   | 121     
210   | shrimp                    | 143     
211   | sorghum                   | 132     
212   | sour_cherry               | 140     
213   | soursop                   | 129     
214   | soybean                   | 133     
215   | spaghetti                 | 142     
216   | spelt                     | 134     
217   | spinach                   | 125     
218   | squab                     | 140     
219   | squirrel                  | 139     
220   | strawberry                | 147     
221   | sugar                     | 134     
222   | sun_dried_tomato          | 128     
223   | sunflower_oil             | 137     
224   | sweet_potato              | 133     
225   | swiss_chard               | 139     
226   | tangerine                 | 137     
227   | teff                      | 131     
228   | tomato                    | 135     
229   | trout                     | 144     
230   | tuna                      | 136     
231   | turkey                    | 127     
232   | turmeric                  | 132     
233   | turnip                    | 132     
234   | vegetable_oil             | 126     
235   | venison                   | 136     
236   | watercress                | 129     
237   | wheat_bran                | 131     
238   | white_peach               | 141     
239   | wild_boar                 | 126     
240   | yuzu                      | 129     

Top 3 nhiều nhất: [('goat', 153), ('penne', 152), ('breadfruit', 152)]
Top 3 ít nhất: [('black_sapote', 118), ('chickpea', 117), ('scallop', 116)]

=============================================
